DISTRICT NUMBER,DISTRICT NAME,YEAR,ALL FUNDS-LOCAL TAX REVENUE FROM M&O,ALL FUNDS-STATE REVENUE,ALL FUNDS-OTHER LOCAL & INTERMEDIATE REVENUE,ALL FUNDS-LOCAL PROPERTY TAXES FROM I&S,ALL FUNDS-STATE DEBT FUNDS,ALL FUNDS-OTHER RECEIPTS,ALL FUNDS-DEBT SERVICE FINANCING RELATED REVENUE,Revenue Sum,Revenue Sum w/ Debt,REPORT_CHARTER_STATUS,2018-2019 ADA,REGION,COUNTY,Asian,Black or African American,Hispanic/Latino,Two or more races,White,American Indian or Alaska Nat,Native Hawaiian/Other Pacific,Total Ethnicity,District 2019 Overall Rating,District 2019 Overall Scaled Score,Student Achievement Rating,Student Achievement Scaled Score,School Progress Resolved Rating,School Progress Resolved Scaled Score,Closing the Gaps Rating,Closing the Gaps Scaled Score,Rated Under AEA Procedures,Charter Operator,New Charter Operator,Residential Treatment Facility,Single District Campus - PEIMS,# Enrolled in Grades 3-12,% Enrolled in Grades 3-12,All Students Count,# Economically Disadvantaged,% Economically Disadvantaged,# LEP Students,% LEP Students,# Special Education,% Special Education,# Enrolled in Early College High School,% Enrolled in Early College High School,# Pathways in Technology ECHS,% Pathways in Technology ECHS,# Enrolled in a T-Stem Academy,% Enrolled in a T-Stem Academy,Total AEA Bonus Points Received,AEA Bonus Graduation or Dropout Rate Used,AEA Bonus GRAD/CCMR Points Received,AEA Bonus STAAR Percentage,AEA Bonus STAAR Points Received,Any Change due to Appeal,Number of Consecutive Years Improvement Required (IR),County Name,County #,Postsecondary Readiness Distinction,"Final Rating Update Status: 1 = Appeal granted, 2 = Rating update to 'Q' - Not Rated due to Data Integrity issue",STAAR Component Raw Score,STAAR Component Scaled Score,CCMR Component Raw Score,CCMR Component Scaled Score,Graduation Rate Component Raw Score,Graduation Rate Component Scaled Score,Academic Growth Raw Score
001902,CAYUGA ISD,2019,3312342,3466026,633101,0,0,24698,0,7436167,7436167,Traditional ISD/CSD,538.511,7,ANDERSON COUNTY,3,20,38,25,478,0,0,564,A,94,A,93,A,92,A,96,N,N,N,N,N,441,78.2,564,240,42.6,1,0.2,84,14.9,0,0,0,0,0,0,.,.,.,.,.,NA,.,ANDERSON,'001,1,NA,58,88,81,95,100,100,72
001903,ELKHART ISD,2019,3332648,7992814,341028,551828,287372,30434,4802251,12536124,17338375,Traditional ISD/CSD,"1,140.619",7,ANDERSON COUNTY,4,68,142,51,981,7,2,1255,A,90,A,92,A,91,B,85,N,N,N,N,N,916,73,1254,728,58.1,29,2.3,134,10.7,0,0,0,0,0,0,.,.,.,.,.,NA,.,ANDERSON,'001,0,NA,56,87,68,92,100,100,75
001904,FRANKSTON ISD,2019,2849978,4969934,681929,903928,144433,481,0,9550683,9550683,Traditional ISD/CSD,747.921,7,ANDERSON COUNTY,8,66,66,30,629,5,0,804,B,89,A,91,A,91,B,84,N,N,N,N,N,613,76.3,803,431,53.7,23,2.9,92,11.5,0,0,0,0,0,0,.,.,.,.,.,NA,.,ANDERSON,'001,0,NA,53,84,71,93,100,100,67
001906,NECHES ISD,2019,1210346,2416923,232417,304601,63711,155342,0,4383340,4383340,Traditional ISD/CSD,333.217,7,ANDERSON COUNTY,0,31,51,15,268,1,0,366,A,91,A,93,A,93,B,86,N,N,N,N,N,272,74.3,366,175,47.8,7,1.9,32,8.7,0,0,0,0,0,0,.,.,.,.,.,NA,.,ANDERSON,'001,0,NA,53,84,91,98,100,100,72
001907,PALESTINE ISD,2019,12964957,17413122,1731443,4022643,334082,74456,0,36540703,36540703,Traditional ISD/CSD,"3,147.606",7,ANDERSON COUNTY,31,902,1398,121,936,3,2,3393,B,87,B,86,A,91,C,79,N,N,N,N,N,2481,73.2,3389,2540,74.9,604,17.8,362,10.7,0,0,0,0,0,0,.,.,.,.,.,NA,.,ANDERSON,'001,0,NA,44,75,68,92,98.6,95,70
001908,WESTWOOD ISD,2019,5759953,8505393,740387,0,0,20122,0,15025855,15025855,Traditional ISD/CSD,"1,409.649",7,ANDERSON COUNTY,9,260,383,55,799,12,0,1518,B,81,B,83,B,85,C,73,N,N,N,N,N,1101,72.5,1518,933,61.5,88,5.8,186,12.3,0,0,0,0,0,0,.,.,.,.,.,NA,.,ANDERSON,'001,0,NA,39,69,64,91,99,95,65
001909,SLOCUM ISD,2019,1386478,2880305,130863,26502,24385,34140,153193,4482673,4635866,Traditional ISD/CSD,373.244,7,ANDERSON COUNTY,3,8,26,14,354,1,0,406,A,91,A,93,A,92,B,87,N,N,N,N,N,292,71.900000000000006,406,186,45.8,4,1,50,12.3,0,0,0,0,0,0,.,.,.,.,.,NA,.,ANDERSON,'001,0,NA,55,86,87,97,100,100,70
002901,ANDREWS ISD,2019,33159295,4295055,2462569,6169562,38471,2458979,10699966,48583931,59283897,Traditional ISD/CSD,"4,085.355",18,ANDREWS COUNTY,17,36,2915,72,1257,21,1,4319,C,79,B,81,C,73,C,74,N,N,N,N,N,3184,73.8,4314,1767,41,523,12.1,346,8,0,0,0,0,0,0,.,.,.,.,.,NA,.,ANDREWS,'002,0,NA,45,76,52,79,98.1,95,66
003801,PINEYWOODS COMMUNITY ACADEMY,2019,0,9501444,421652,0,0,0,0,9923096,9923096,Open Enrollment Charter,973.413,7,ANGELINA COUNTY,15,154,278,33,541,0,1,1022,A,90,A,92,A,91,B,85,N,Y,N,N,N,761,74.5,1022,521,51,49,4.8,82,8,175,17.1,0,0,0,0,.,.,.,.,.,NA,.,ANGELINA,'003,0,NA,57,87,71,93,100,100,72
003902,HUDSON ISD,2019,5973892,18587547,2368976,578535,1163119,0,0,28672069,28672069,Traditional ISD/CSD,"2,776.510",7,ANGELINA COUNTY,21,224,756,72,1864,22,0,2959,B,89,B,89,A,93,B,87,N,N,N,N,N,2199,74.400000000000006,2957,1609,54.4,180,6.1,253,8.6,0,0,0,0,0,0,.,.,.,.,.,NA,.,ANGELINA,'003,1,NA,59,89,78,95,96.3,90,74
